Name;Platform;Genre;Publisher;Global_Sales (MM);Year
The Sims 3;PS3;Simulation;Electronic Arts;2.06;2010
Tom Clancy's Splinter Cell: Conviction;X360;Action;Ubisoft;2.06;2010
Pokemon Mystery Dungeon: Red/Blue Rescue Team;GBA;Role-Playing;Nintendo;2.06;2005
The Incredibles;GBA;Action;THQ;2.06;2004
R4: Ridge Racer Type 4;PS;Racing;Namco Bandai Games;2.06;1998
SoulCalibur II;PS2;Fighting;Namco Bandai Games;2.06;2003
Mario & Luigi: Dream Team;3DS;Role-Playing;Nintendo;2.06;2013
Need for Speed: ProStreet;PS3;Racing;Electronic Arts;2.05;2007
Carnival Games;DS;Misc;Take-Two Interactive;2.05;2008
NBA 2K14;PS3;Sports;Take-Two Interactive;2.05;2013
Pokémon Mystery Dungeon: Blue Rescue Team;DS;Role-Playing;Nintendo;2.05;2005
Sonic Mega Collection;GC;Misc;Infogrames;2.05;2002
Diablo III;PS3;Role-Playing;Activision;2.05;2013
NBA Jam;GEN;Sports;Arena Entertainment;2.05;1992
PGR4 - Project Gotham Racing 4;X360;Racing;Microsoft Game Studios;2.05;2007
Kingdom Hearts 358/2 Days;DS;Role-Playing;Square Enix;2.04;2009
Dance Central 2;X360;Misc;Microsoft Game Studios;2.04;2011
Rayman Raving Rabbids: TV Party;Wii;Misc;Ubisoft;2.04;2008
SOCOM: U.S. Navy SEALs: Combined Assault;PS2;Shooter;Sony Computer Entertainment;2.04;2006
Peter Jackson's King Kong: The Official Game of the Movie;PS2;Action;Ubisoft;2.04;2005
Donkey Kong Country;GBA;Platform;Nintendo;2.04;2003
Need for Speed: The Run;PS3;Action;Electronic Arts;2.04;2011
Madden NFL 15;PS4;Sports;Electronic Arts;2.03;2014
1080°: TenEighty Snowboarding;N64;Sports;Nintendo;2.03;1998
Just Dance 3;X360;Misc;Ubisoft;2.03;2011
NBA Live 2004;PS2;Sports;Electronic Arts;2.03;2003
Dead Space;PS3;Action;Electronic Arts;2.02;2008
Call of Duty 2;X360;Shooter;Activision;2.02;2005
Madden NFL 15;X360;Sports;Electronic Arts;2.02;2014
Forza Horizon;X360;Racing;Microsoft Game Studios;2.02;2012
TouchMaster;DS;Puzzle;Midway Games;2.01;2007
Tom Clancy's The Division;XOne;Shooter;Ubisoft;2.01;2016
LEGO Marvel Super Heroes;PS3;Action;Warner Bros. Interactive Entertainment;2.0;2013
Fire Emblem: Awakening;3DS;Role-Playing;Nintendo;2.0;2012
DriveClub;PS4;Racing;Sony Computer Entertainment;2.0;2014
Super Street Fighter II;SNES;Fighting;Nintendo;2.0;1993
Mortal Kombat vs. DC Universe;PS3;Fighting;Midway Games;2.0;2008
Tenchu: Stealth Assassins;PS;Action;Activision;1.99;1997
Tennis;GB;Sports;Nintendo;1.99;1989
Harry Potter and the Chamber of Secrets;GBA;Action;Electronic Arts;1.99;2002
Harry Potter and the Chamber of Secrets;PS;Action;Electronic Arts;1.98;2002
SimCity;SNES;Simulation;Nintendo;1.98;1991
Battlefield 4;XOne;Shooter;Electronic Arts;1.98;2013
Resident Evil 6;X360;Shooter;Capcom;1.98;2012
Dragon Age: Inquisition;PS4;Role-Playing;Electronic Arts;1.97;2014
Sonic Classic Collection;DS;Platform;Sega;1.97;2010
Spyro: Enter the Dragonfly;PS2;Platform;Universal Interactive;1.97;2002
Call of Duty: World at War;Wii;Shooter;Activision;1.97;2008
Devil May Cry 2;PS2;Action;Capcom;1.97;2003
Burnout Paradise;PS3;Racing;Electronic Arts;1.97;2008
E.T.: The Extra Terrestrial;2600;Action;Atari;1.97;1981
BioShock Infinite;X360;Shooter;Take-Two Interactive;1.96;2013
Hot Shots Golf: Open Tee;PSP;Sports;Sony Computer Entertainment;1.96;2004
Rad Racer;NES;Racing;Nintendo;1.96;1986
Soccer;NES;Sports;Nintendo;1.96;1985
Kirby Squeak Squad;DS;Platform;Nintendo;1.96;2006
Tom Clancy's Rainbow Six: Vegas;X360;Shooter;Ubisoft;1.96;2006
Destiny;X360;Shooter;Activision;1.95;2014
Crash Nitro Kart;PS2;Racing;Vivendi Games;1.95;2003
Grand Theft Auto: San Andreas;XB;Action;Take-Two Interactive;1.95;2005
Star Wars: Dark Forces;PC;Shooter;LucasArts;1.95;1994
NBA Street Vol. 2;PS2;Sports;Electronic Arts;1.95;2003
Def Jam Vendetta;PS2;Fighting;Electronic Arts;1.94;2003
FIFA Soccer 09;X360;Sports;Electronic Arts;1.94;2008
Who wants to be a millionaire;PC;Misc;Disney Interactive Studios;1.94;1999
Scooby Doo and the Cyber Chase;PS;Adventure;THQ;1.94;2001
Alleyway;GB;Puzzle;Nintendo;1.94;1989
Dragon Ball Z: Budokai 3;PS2;Fighting;Atari;1.94;2004
Jet Moto 2;PS;Racing;Sony Computer Entertainment;1.94;1997
Tom Clancy's Ghost Recon;PS2;Shooter;Ubisoft;1.94;2002
X-Men Legends;PS2;Role-Playing;Activision;1.93;2004
Batman: Arkham Origins;X360;Action;Warner Bros. Interactive Entertainment;1.93;2013
Guitar Hero: World Tour;PS3;Misc;Activision;1.93;2008
Mortal Kombat II;SNES;Fighting;Acclaim Entertainment;1.93;1993
Virtua Fighter 2;SAT;Fighting;Sega;1.93;1995
Tetris DX;GB;Puzzle;Nintendo;1.93;1998
Mortal Kombat vs. DC Universe;X360;Fighting;Midway Games;1.93;2008
Watch Dogs;PS3;Action;Ubisoft;1.93;2014
Mario Super Sluggers;Wii;Sports;Nintendo;1.93;2008
Tomb Raider (2013);X360;Action;Square Enix;1.92;2013
The Legend of Zelda: Oracle of Ages;GB;Action;Nintendo;1.92;2001
Need for Speed: Shift;X360;Racing;Electronic Arts;1.92;2009
Monopoly;Wii;Misc;Electronic Arts;1.92;2008
Red Faction;PS2;Shooter;THQ;1.92;2001
The Sims: Makin' Magic;PC;Simulation;Electronic Arts;1.92;2003
MX Unleashed;PS2;Racing;THQ;1.92;2004
PaRappa The Rapper;PS;Misc;Sony Computer Entertainment;1.92;1996
Toy Story Mania!;Wii;Misc;Disney Interactive Studios;1.92;2009
Mario Party 3;N64;Misc;Nintendo;1.91;2000
Star Wars: The Force Unleashed;Wii;Action;LucasArts;1.91;2008
Game Party 2;Wii;Misc;Midway Games;1.91;2008
Destiny: The Taken King;PS4;Shooter;Activision;1.91;2015
LEGO Star Wars III: The Clone Wars;Wii;Action;LucasArts;1.91;2011
Star Wars Rogue Leader: Rogue Squadron II;GC;Simulation;LucasArts;1.9;2001
Max Payne 3;PS3;Shooter;Take-Two Interactive;1.9;2012
Need for Speed Rivals;PS4;Racing;Electronic Arts;1.89;2013
Madden NFL 09;PS3;Sports;Electronic Arts;1.89;2008
Yokai Watch;3DS;Role-Playing;Nintendo;1.89;2013
Ratchet & Clank Future: A Crack in Time;PS3;Platform;Sony Computer Entertainment;1.88;2009
Yu-Gi-Oh! Forbidden Memories;PS;Role-Playing;Konami Digital Entertainment;1.88;1999
Mortal Kombat: Deception;PS2;Fighting;Midway Games;1.88;2004
Hot Shots Golf 2;PS;Sports;Sony Computer Entertainment;1.88;1999
Medal of Honor: European Assault (All Region sales);PS2;Shooter;Electronic Arts;1.88;2005
WCW Nitro;PS;Fighting;THQ;1.88;1998
High School Musical: Sing It!;PS2;Misc;Disney Interactive Studios;1.87;2007
Star Fox Adventures;GC;Adventure;Nintendo;1.87;2002
FIFA 2000;PS;Sports;Electronic Arts;1.87;1998
Dynasty Warriors 3;PS2;Action;THQ;1.87;2001
Donkey Kong Country Returns;3DS;Platform;Nintendo;1.87;2013
The Legend of Zelda: Oracle of Seasons;GB;Adventure;Nintendo;1.86;2001
Madden NFL 06;XB;Sports;Electronic Arts;1.86;2005
Shrek 2;PS2;Platform;Activision;1.86;2004
The Legend of Dragoon;PS;Role-Playing;Sony Computer Entertainment;1.86;1999
Turok 2: Seeds of Evil;N64;Platform;Acclaim Entertainment;1.86;1997
SingStar;PS2;Misc;Sony Computer Entertainment;1.86;2004
LittleBigPlanet 3;PS4;Platform;Sony Computer Entertainment;1.86;2014
NBA Live 2002;PS2;Sports;Electronic Arts;1.86;2001
Phineas and Ferb;DS;Action;Disney Interactive Studios;1.86;2009
Chrono Cross;PS;Role-Playing;SquareSoft;1.86;1999
GoldenEye 007 (2010);Wii;Action;Activision;1.86;2010
Mario Party: Island Tour;3DS;Misc;Nintendo;1.85;2013
Jak 3;PS2;Platform;Sony Computer Entertainment;1.85;2004
Rayman Raving Rabbids 2;Wii;Misc;Ubisoft;1.85;2007
Kingdom Hearts: Chain of Memories;GBA;Role-Playing;Square Enix;1.85;2004
Pinball;NES;Action;Nintendo;1.85;1984
inFAMOUS 2;PS3;Action;Sony Computer Entertainment;1.85;2011
Gran Turismo Concept 2001 Tokyo;PS2;Racing;Unknown;1.84;2001
Demon's Souls;PS3;Role-Playing;Namco Bandai Games;1.84;2009
NCAA Football 06;PS2;Sports;Electronic Arts;1.84;2005
Hey You, Pikachu!;N64;Simulation;Nintendo;1.83;1998
2 Games in 1: Sonic Advance & ChuChu Rocket!;GBA;Misc;THQ;1.83;2005
World of Warcraft: Mists of Pandaria;PC;Role-Playing;Activision;1.83;2012
Jet Moto;PS;Racing;Sony Computer Entertainment;1.83;1996
Just Cause 3;PS4;Action;Square Enix;1.83;2015
Secret of Mana;SNES;Role-Playing;SquareSoft;1.83;1993
The Orange Box;X360;Shooter;Electronic Arts;1.83;2007
Air Combat;PS;Simulation;Sony Computer Entertainment;1.83;1995
Kirby: Triple Deluxe;3DS;Platform;Nintendo;1.82;2014
Sonic & Knuckles;GEN;Platform;Sega;1.82;1994
Namco Museum;PS2;Misc;Namco Bandai Games;1.82;2001
The Sims: Hot Date;PC;Simulation;Electronic Arts;1.82;2001
Metroid Prime 3: Corruption;Wii;Shooter;Nintendo;1.82;2007
Dragon Quest VI: Realms of Revelation;DS;Role-Playing;Nintendo;1.81;2010
The Evil Within;PS4;Action;Bethesda Softworks;1.81;2014
DDRMAX2: Dance Dance Revolution;PS2;Simulation;Konami Digital Entertainment;1.81;2003
Crazy Taxi;DC;Racing;Sega;1.81;2000
Virtua Fighter 4;PS2;Fighting;Sega;1.81;2002
Sly 2: Band of Thieves;PS2;Platform;Sony Computer Entertainment;1.81;2004
Guitar Hero: World Tour;PS2;Misc;Activision;1.8;2008
Sonic Advance 2;GBA;Platform;Sega;1.8;2002
Madden NFL 07;X360;Sports;Electronic Arts;1.8;2006
NBA 2K11;PS3;Action;Take-Two Interactive;1.8;2010
NFL GameDay 2000;PS;Sports;989 Studios;1.8;1999
Call of Duty: Black Ops 3;PS3;Shooter;Activision;1.79;2015
Disney's The Lion King;SNES;Platform;Virgin Interactive;1.79;1994
Beyond: Two Souls;PS3;Adventure;Sony Computer Entertainment;1.79;2013
Kinect Star Wars;X360;Action;Microsoft Game Studios;1.78;2012
Midnight Club II;PS2;Racing;Take-Two Interactive;1.78;2003
Dragon Quest Monsters: Joker;DS;Role-Playing;Square Enix;1.78;2006
SpongeBob SquarePants: SuperSponge;PS;Action;THQ;1.78;2001
The Getaway: Black Monday;PS2;Action;Sony Computer Entertainment;1.78;2004
Professor Layton and the Mask of Miracle;3DS;Puzzle;Nintendo;1.78;2011
Just Cause 2;PS3;Action;Square Enix;1.78;2010
Dragon's Dogma;PS3;Role-Playing;Capcom;1.78;2012
The Legend of Zelda: The Wind Waker;WiiU;Action;Nintendo;1.77;2013
50 Cent: Bulletproof;PS2;Action;Vivendi Games;1.77;2005
High School Musical: Sing It!;Wii;Misc;Disney Interactive Studios;1.77;2007
Wii Party U;WiiU;Misc;Nintendo;1.77;2013
Madden NFL 25;PS3;Sports;Electronic Arts;1.77;2013
Final Fantasy II;SNES;Role-Playing;Square;1.77;1991
Kirby 64: The Crystal Shards;N64;Platform;Nintendo;1.77;2000
Dead or Alive 3;XB;Fighting;Microsoft Game Studios;1.77;2001
UFC 2009 Undisputed;PS3;Fighting;THQ;1.77;2009
Metroid II: Return of Samus;GB;Adventure;Nintendo;1.76;1991
WWF Attitude;PS;Fighting;Acclaim Entertainment;1.76;1998
The SpongeBob SquarePants Movie;PS2;Platform;THQ;1.76;2004
Golden Sun;GBA;Role-Playing;Nintendo;1.76;2001
Sonic the Hedgehog 3;GEN;Platform;Sega;1.76;1994
Kid Icarus;NES;Platform;Nintendo;1.76;1986
Def Jam: Fight for NY;PS2;Fighting;Electronic Arts;1.76;2004
Tom Clancy's Ghost Recon;XB;Shooter;Ubisoft;1.76;2002
State of Emergency;PS2;Action;Take-Two Interactive;1.76;2002
BioShock Infinite;PS3;Shooter;Take-Two Interactive;1.76;2013
Hitman: Absolution;X360;Action;Square Enix;1.76;2012
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures;GBA;Action;THQ;1.76;2007
Call of Duty: Black Ops 3;X360;Shooter;Activision;1.76;2015
The Urbz: Sims in the City;PS2;Simulation;Electronic Arts;1.76;2004
FIFA Soccer 08;PS3;Sports;Electronic Arts;1.76;2007
Star Wars: Starfighter;PS2;Simulation;Activision;1.76;2001
Madden NFL 2000;PS;Sports;Electronic Arts;1.75;1998
Kingdom Hearts;PS3;Role-Playing;Square Enix;1.75;2013
Star Wars: Battlefront;XB;Shooter;Activision;1.75;2004
Pro Evolution Soccer;PS2;Sports;Konami Digital Entertainment;1.75;2001
Crackdown;X360;Shooter;Microsoft Game Studios;1.75;2007
Yoshi;NES;Puzzle;Nintendo;1.75;1991
Disney's Aladdin;SNES;Platform;Capcom;1.75;1993
Kirby's Adventure;NES;Platform;Nintendo;1.75;1993
Cooking Mama 3: Shop & Chop;DS;Simulation;505 Games;1.75;2009
Dance Dance Revolution X;PS2;Simulation;Konami Digital Entertainment;1.75;2008
2 Games in 1: Disney Princess & The Lion King;GBA;Misc;THQ;1.75;2004
Star Wars Episode I: The Phantom Menace;PS;Adventure;LucasArts;1.74;1999
Xenosaga Episode I: Der Wille zur Macht;PS2;Role-Playing;Namco Bandai Games;1.74;2002
Portal 2;PS3;Shooter;Valve;1.74;2011
The Beatles: Rock Band;Wii;Misc;MTV Games;1.74;2009
Forza Motorsport 6;XOne;Racing;Microsoft Game Studios;1.74;2015
Sonic Colors;Wii;Platform;Sega;1.74;2010
Cruis'n USA;N64;Racing;Nintendo;1.74;1996
Madden NFL 99;PS;Sports;Electronic Arts;1.74;1998
Diablo III;PS4;Role-Playing;Activision;1.74;2014
Uncharted: Golden Abyss;PSV;Shooter;Sony Computer Entertainment;1.74;2011
Destiny;PS3;Shooter;Activision;1.73;2014
SSX Tricky;PS2;Sports;Electronic Arts;1.73;2001
Overwatch;PS4;Shooter;Activision;1.73;2016
Twisted Metal III;PS;Action;989 Studios;1.73;1998
Harry Potter and the Sorcerer's Stone;GB;Action;Electronic Arts;1.73;2001
Disney Infinity;Wii;Action;Disney Interactive Studios;1.73;2013
Crash Bandicoot: The Huge Adventure;GBA;Platform;Universal Interactive;1.73;2002
Dishonored;X360;Action;Bethesda Softworks;1.73;2012
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;PS2;Action;Take-Two Interactive;1.72;2003
The Order: 1886;PS4;Shooter;Sony Computer Entertainment;1.72;2015
The Elder Scrolls Online;PS4;Role-Playing;Bethesda Softworks;1.72;2015
Call of Duty: World at War Final Fronts;PS2;Shooter;Activision;1.72;2008
Imagine: Teacher;DS;Simulation;Ubisoft;1.72;2008
Call of Duty: Modern Warfare 3;PC;Shooter;Activision;1.72;2011
Madden NFL 2005;XB;Sports;Electronic Arts;1.72;2004
Star Ocean: Till The End of Time;PS2;Role-Playing;Ubisoft;1.72;2003
The Sims 3: Late Night Expansion Pack;PC;Simulation;Electronic Arts;1.71;2010
Game Party 3;Wii;Puzzle;Warner Bros. Interactive Entertainment;1.71;2009
Toy Story 2: Buzz Lightyear to the Rescue!;PS;Platform;Activision;1.71;1998
Deal or No Deal;DS;Misc;Mindscape;1.71;2007
Ace Combat 5: The Unsung War;PS2;Simulation;Sony Computer Entertainment Europe;1.71;2004
Need for Speed Underground;XB;Racing;Electronic Arts;1.71;2003
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS;DS;Misc;Nintendo;1.71;2006
Tetris Worlds;GBA;Puzzle;THQ;1.71;2001
Cabela's Big Game Hunter 2010;Wii;Sports;Activision Value;1.7;2009
The Crew;PS4;Racing;Ubisoft;1.7;2014
FIFA Soccer 10;PS2;Sports;Electronic Arts;1.7;2009
We Ski;Wii;Sports;Namco Bandai Games;1.7;2008
Personal Trainer: Math;DS;Puzzle;Nintendo;1.7;2007
Kirby's Return to Dreamland;Wii;Platform;Nintendo;1.7;2011
Super Puyo Puyo;SNES;Puzzle;Banpresto;1.7;1993
Ben 10: Protector of Earth;DS;Action;D3Publisher;1.7;2007
NCAA Football 07;PS2;Sports;Electronic Arts;1.7;2006
SOCOM 3: U.S. Navy SEALs;PS2;Shooter;Sony Computer Entertainment;1.69;2005
NBA 2K15;XOne;Sports;Take-Two Interactive;1.69;2014
Saints Row 2;PS3;Action;THQ;1.69;2008
Saints Row IV;X360;Action;Deep Silver;1.69;2013
Jampack Winter '99;PS;Misc;Sony Computer Entertainment;1.69;1999
Dragon Age: Origins;PS3;Role-Playing;Electronic Arts;1.69;2009
FIFA 16;X360;Sports;Electronic Arts;1.69;2015
WCW vs. nWo: World Tour;N64;Fighting;THQ;1.69;1997
WCW/NWO Thunder;PS;Fighting;THQ;1.69;1998
Harry Potter and the Sorcerer's Stone;GBA;Action;Electronic Arts;1.69;2001
Need For Speed: Undercover;X360;Racing;Electronic Arts;1.69;2008
Dragon Ball Z: The Legacy of Goku;GBA;Role-Playing;Infogrames;1.69;2002
Sid Meier's Civilization V;PC;Strategy;Take-Two Interactive;1.69;2010
Resident Evil 4;GC;Action;Capcom;1.69;2005
Call of Duty Black Ops: Declassified;PSV;Action;Activision;1.69;2012
Star Wars Battlefront: Renegade Squadron;PSP;Shooter;LucasArts;1.68;2007
World Championship Poker: Featuring Howard Lederer - All In;PS2;Misc;Oxygen Interactive;1.68;2006
NFL GameDay 98;PS;Sports;Sony Computer Entertainment;1.68;1997
LEGO Batman 2: DC Super Heroes;X360;Action;Warner Bros. Interactive Entertainment;1.68;2012
Yoshi's Cookie;GB;Puzzle;Nintendo;1.68;1992
Time Crisis;PS;Shooter;Namco Bandai Games;1.68;1997
The Sims: Superstar;PC;Simulation;Electronic Arts;1.68;2003
Star Wars The Clone Wars: Lightsaber Duels;Wii;Action;LucasArts;1.68;2008
MySims;Wii;Simulation;Electronic Arts;1.68;2007
Metroid Fusion;GBA;Action;Nintendo;1.68;2002
Shaun White Snowboarding: Road Trip;Wii;Sports;Ubisoft;1.67;2008
SSX 3;PS2;Sports;Electronic Arts;1.67;2003
Big Beach Sports;Wii;Sports;THQ;1.67;2008
Madden NFL 2001;PS;Sports;Electronic Arts;1.67;2000
Fight Night Round 3;PS3;Fighting;Electronic Arts;1.67;2006
Knack;PS4;Platform;Sony Computer Entertainment Europe;1.67;2013
Star Wars: Battlefront II;XB;Shooter;Activision;1.67;2005
Disney's DuckTales;NES;Platform;Capcom;1.67;1989
Tony Hawk's Pro Skater 3;PS;Sports;Activision;1.67;2001
Monsters, Inc.;GBA;Adventure;THQ;1.67;2001
StarCraft II: Heart of the Swarm;PC;Strategy;Activision;1.67;2013
PGR: Project Gotham Racing 2;XB;Racing;Microsoft Game Studios;1.67;2003
Spy Hunter;PS2;Racing;Midway Games;1.67;2001
NCAA Football 2004;PS2;Sports;Electronic Arts;1.67;2003
SpongeBob SquarePants: Battle for Bikini Bottom;PS2;Platform;THQ;1.67;2003
Dying Light;PS4;Action;Warner Bros. Interactive Entertainment;1.66;2015
Heavenly Sword;PS3;Action;Sony Computer Entertainment;1.66;2007
Street Fighter II': Special Champion Edition;GEN;Fighting;Sega;1.66;1992
SSX;PS2;Sports;Electronic Arts;1.66;2000
Max Payne 3;X360;Shooter;Take-Two Interactive;1.66;2012
NBA Ballers;PS2;Sports;Midway Games;1.66;2004
Need for Speed Carbon;X360;Racing;Electronic Arts;1.66;2006
NBA Live 2003;PS2;Sports;Electronic Arts;1.66;2002
Dragon Ball Z: Budokai Tenkaichi;PS2;Fighting;Atari;1.66;2005
Ms. Pac-Man;2600;Puzzle;Atari;1.65;1981
Mario Party 6;GC;Misc;Nintendo;1.65;2004
Super Scope 6;SNES;Shooter;Nintendo;1.65;1991
Go Vacation;Wii;Misc;Namco Bandai Games;1.65;2011
Dragon Quest V: Tenkuu no Hanayome;PS2;Role-Playing;Enix Corporation;1.65;2004
Army of Two;X360;Shooter;Electronic Arts;1.65;2008
Dragon Quest IV: Chapters of the Chosen;DS;Role-Playing;Square Enix;1.64;2007
Kirby & the Amazing Mirror;GBA;Platform;Nintendo;1.64;2004
LEGO Pirates of the Caribbean: The Video Game;Wii;Action;Disney Interactive Studios;1.64;2011
Dig Dug;2600;Puzzle;Atari;1.64;1982
Tom Clancy's Rainbow Six;PS;Shooter;Red Storm Entertainment;1.64;1999
Ghosts 'n Goblins;NES;Action;Capcom;1.64;1986
Tiger Woods PGA Tour 2003;PS2;Sports;Electronic Arts;1.64;2002
NBA Live 06 (All region sales);PS2;Sports;Electronic Arts;1.64;2005
Prince of Persia: Warrior Within;PS2;Action;Ubisoft;1.64;2004
Kinectimals;X360;Simulation;Microsoft Game Studios;1.64;2010
Until Dawn;PS4;Adventure;Sony Computer Entertainment Europe;1.64;2015
ESPN NFL 2K5;XB;Sports;Sega;1.63;2004
Viva Pinata;X360;Simulation;Microsoft Game Studios;1.63;2006
Pikmin;GC;Strategy;Nintendo;1.63;2001
Sonic Generations;PS3;Platform;Sega;1.63;2011
Tiger Woods PGA Tour 2004;PS2;Sports;Electronic Arts;1.63;2003
Ape Escape;PS;Platform;Sony Computer Entertainment;1.63;1999
NBA 2K15;X360;Sports;Take-Two Interactive;1.63;2014
NCAA Football 2005;PS2;Sports;Electronic Arts;1.62;2004
Just Cause 2;X360;Action;Square Enix;1.62;2010
Tony Hawk's American Wasteland (Old all region sales);PS2;Sports;Activision;1.62;2005
Rage;X360;Shooter;Bethesda Softworks;1.62;2011
Mario Hoops 3 on 3;DS;Sports;Nintendo;1.62;2006
Kirby Air Ride;GC;Racing;Nintendo;1.62;2003
Sled Storm;PS;Racing;Electronic Arts;1.62;1998
Pokemon Battle Revolution;Wii;Role-Playing;Nintendo;1.61;2006
NFL Street 2;PS2;Sports;Electronic Arts;1.61;2004
Gears of War: Judgment;X360;Shooter;Microsoft Game Studios;1.61;2013
Baseball;GB;Sports;Nintendo;1.61;1989
Yu-Gi-Oh! Duel Monsters;GB;Strategy;Konami Digital Entertainment;1.61;1998
Super Mario Strikers;GC;Sports;Nintendo;1.61;2005
Buzz! The Music Quiz;PS2;Misc;Sony Computer Entertainment;1.61;2005
SpongeBob's Atlantis SquarePantis;DS;Action;THQ;1.61;2007
Far Cry 4;XOne;Shooter;Ubisoft;1.61;2014
Dance Dance Revolution: Hottest Party 2;Wii;Simulation;Konami Digital Entertainment;1.6;2008
Moshi Monsters: Moshling Zoo;DS;Misc;Activision;1.6;2011
Dollar Dash;PS2;Action;Take-Two Interactive;1.6;2005
Far Cry 2;X360;Action;Ubisoft;1.6;2008
F-1 World Grand Prix;N64;Racing;Video System;1.6;1998
River Raid;2600;Shooter;Activision;1.6;1981
Silent Hill;PS;Action;Konami Digital Entertainment;1.6;1999
Dragon Quest V: Hand of the Heavenly Bride;DS;Role-Playing;Square Enix;1.6;2008
No Man's Sky;PS4;Action;Hello Games;1.6;2016
Sonic Heroes;GC;Platform;Sega;1.6;2003
ESPN NBA 2K5;PS2;Sports;Global Star;1.59;2004
Diablo;PC;Role-Playing;Activision;1.59;1996
The Legend of Zelda: Twilight Princess;GC;Action;Nintendo;1.59;2006
Soul Edge;PS;Fighting;Sony Computer Entertainment;1.59;1996
Devil May Cry 4;PS3;Action;Capcom;1.59;2008
Mario Bros.;2600;Platform;Atari;1.59;1982
Pro Evolution Soccer 2008;PS3;Sports;Konami Digital Entertainment;1.59;2007
SoulCalibur IV;X360;Fighting;Ubisoft;1.59;2008
LEGO Harry Potter: Years 1-4;X360;Action;Warner Bros. Interactive Entertainment;1.59;2010
NASCAR 2000;PS;Racing;Electronic Arts;1.59;1999
Wolfenstein: The New Order;PS4;Shooter;Bethesda Softworks;1.58;2014
Carnival Games: Mini Golf;Wii;Sports;Take-Two Interactive;1.58;2008
Guitar Hero: On Tour Decades;DS;Misc;Activision;1.58;2008
MySims Kingdom;DS;Simulation;Electronic Arts;1.58;2008
Jampack Summer 2K;PS;Misc;Sony Computer Entertainment;1.58;2000
Need for Speed: Most Wanted;X360;Racing;Electronic Arts;1.58;2012
Guitar Hero 5;Wii;Misc;Activision;1.58;2009
High School Musical 3: Senior Year;DS;Misc;Disney Interactive Studios;1.58;2008
Kingdom Hearts 3D: Dream Drop Distance;3DS;Action;Square Enix;1.58;2012
Hannah Montana: Music Jam;DS;Action;Disney Interactive Studios;1.58;2007
Pokemon Mystery Dungeon: Explorers of Sky;DS;Role-Playing;Nintendo;1.58;2009
Spyro 2: Season of Flame;GBA;Platform;Vivendi Games;1.58;2002
Pro Evolution Soccer 2010;PS2;Sports;Konami Digital Entertainment;1.57;2009
NCAA Football 2002;PS2;Sports;Electronic Arts;1.57;2001
Conflict: Desert Storm;PS2;Shooter;Gotham Games;1.57;2002
Mario Party 7;GC;Misc;Nintendo;1.57;2005
Pro Evolution Soccer 2013;PS3;Sports;Konami Digital Entertainment;1.56;2012
Smuggler's Run;PS2;Racing;Take-Two Interactive;1.56;2000
Fight Night Round 3;PS2;Fighting;Electronic Arts;1.56;2006
Donkey Kong Classics;NES;Platform;Nintendo;1.56;1988
Twisted Metal;PS;Action;Sony Computer Entertainment;1.56;1995
Dark Souls III;PS4;Role-Playing;Namco Bandai Games;1.56;2016
Final Fight;SNES;Action;Capcom;1.56;1990
Dragon Quest Monsters 2;GB;Role-Playing;Enix Corporation;1.56;2001
Pokemon Pinball: Ruby & Sapphire;GBA;Misc;Nintendo;1.56;2003
LEGO Marvel Super Heroes;PS4;Action;Warner Bros. Interactive Entertainment;1.56;2013
Mafia II;X360;Action;Take-Two Interactive;1.55;2010
Dishonored;PS3;Action;Bethesda Softworks;1.55;2012
Stuntman;PS2;Racing;Atari;1.55;2002
Tom Clancy's Rainbow Six 3;XB;Shooter;Ubisoft;1.55;2003
Active Life: Outdoor Challenge;Wii;Sports;Atari;1.55;2008
BioShock 2;PS3;Shooter;Take-Two Interactive;1.55;2010
007: The World is not Enough;N64;Action;Electronic Arts;1.55;2000
Spider-Man 2: Enter: Electro;PS;Action;Activision;1.55;2001
Watch Dogs;XOne;Action;Ubisoft;1.55;2014
Star Wars: The Force Unleashed II;PS3;Action;LucasArts;1.55;2010
Ni no Kuni: Wrath of the White Witch;PS3;Role-Playing;Namco Bandai Games;1.55;2011
Command & Conquer: Tiberian Sun;PC;Strategy;Westwood Studios;1.55;1999
LEGO Battles: Ninjago;DS;Strategy;Warner Bros. Interactive Entertainment;1.55;2011
Mario Party 10;WiiU;Misc;Nintendo;1.55;2015
Dead Rising 3;XOne;Action;Microsoft Game Studios;1.54;2013
Resident Evil: The Umbrella Chronicles;Wii;Action;Capcom;1.54;2007
Fire Emblem Fates;3DS;Role-Playing;Nintendo;1.54;2015
Dark Cloud;PS2;Role-Playing;Sony Computer Entertainment;1.54;2000
Warcraft III: The Frozen Throne;PC;Strategy;Activision;1.54;2003
Tom Clancy's Ghost Recon Advanced Warfighter;X360;Shooter;Ubisoft;1.54;2006
Disney Fairies: Tinker Bell;DS;Adventure;Disney Interactive Studios;1.54;2008
MVP Baseball 2005;PS2;Sports;Electronic Arts;1.54;2005
Die Hard Trilogy;PS;Shooter;Fox Interactive;1.54;1996
